"","N701_S508","N702_S508","N703_S508","N704_S508","N705_S508","N706_S508","N707_S508","N708_S508","N709_S508"
"ENSG00000243485",0,0,0,0,0,0,0,0,0
"ENSG00000237613",0,0,0,0,0,0,0,0,0
"ENSG00000186092",0,0,0,0,0,0,0,0,0
"ENSG00000238009",0,2,0,0,0,0,0,0,1
"ENSG00000239945",0,0,0,0,0,0,0,0,0
"ENSG00000239906",0,0,0,0,0,0,0,0,0
"ENSG00000241599",0,0,0,0,0,0,0,0,0
"ENSG00000236601",0,0,0,0,0,0,0,0,0
"ENSG00000284733",0,0,0,0,0,1,2,0,0
"ENSG00000235146",0,0,0,0,0,0,0,0,0
"ENSG00000284662",0,0,0,0,0,0,0,0,0
"ENSG00000229905",0,0,1,0,0,0,0,0,0
"ENSG00000237491",2,4,3,4,8,2,5,3,2
"ENSG00000177757",1,3,3,2,0,2,2,2,4
"ENSG00000225880",0,1,0,4,2,0,3,2,0
"ENSG00000230368",1,0,0,0,0,0,0,0,1
"ENSG00000272438",0,0,0,0,0,0,0,0,0
"ENSG00000230699",0,1,0,0,1,0,0,0,0
"ENSG00000241180",0,0,0,0,0,0,0,0,0
"ENSG00000223764",0,1,1,0,0,0,0,1,0
"ENSG00000187634",1,0,0,1,0,0,0,0,1
"ENSG00000188976",293,389,276,296,304,229,288,283,185
"ENSG00000187961",14,16,12,23,9,12,13,16,8
"ENSG00000187583",23,26,16,20,26,20,31,29,15
"ENSG00000187642",3,9,1,0,2,2,0,5,0
"ENSG00000272512",1,2,0,0,1,1,2,3,0
"ENSG00000188290",118,187,89,125,163,97,121,131,43
"ENSG00000187608",57,81,63,1064,488,212,82,76,180
"ENSG00000224969",1,0,0,0,0,1,0,0,0
"ENSG00000188157",322,387,308,300,333,275,297,361,244
"ENSG00000273443",0,1,0,0,1,0,0,0,0
"ENSG00000237330",10,19,12,12,14,7,10,17,9
"ENSG00000131591",59,78,61,64,60,41,53,48,34
"ENSG00000223823",1,0,0,0,0,0,0,0,0
"ENSG00000272141",6,17,11,10,5,4,11,11,4
"ENSG00000205231",4,2,7,6,7,7,3,4,4
"ENSG00000162571",75,72,47,57,53,49,57,63,34
"ENSG00000186891",14,12,11,13,4,8,14,17,11
"ENSG00000186827",0,0,0,0,0,0,0,0,0
"ENSG00000078808",506,638,399,438,506,405,534,458,285
"ENSG00000176022",31,38,17,38,40,51,36,38,17
"ENSG00000184163",19,16,15,19,15,8,16,17,7
"ENSG00000260179",1,0,1,0,0,0,0,0,0
"ENSG00000160087",320,394,267,265,298,215,278,260,185
"ENSG00000230415",1,3,0,0,0,2,0,1,0
"ENSG00000162572",3,14,2,3,5,4,4,9,5
"ENSG00000131584",105,140,98,114,105,111,120,129,97
"ENSG00000169972",175,209,160,190,168,151,173,152,90
"ENSG00000127054",361,480,295,329,302,292,317,346,229
"ENSG00000224051",195,290,162,190,217,156,173,224,120
"ENSG00000169962",5,5,4,2,4,0,10,12,1
"ENSG00000107404",31,63,42,50,47,35,35,46,43
"ENSG00000162576",0,2,0,2,1,1,0,4,0
"ENSG00000175756",365,459,298,354,366,308,365,351,197
"ENSG00000221978",566,680,481,518,542,362,462,510,291
"ENSG00000242485",490,575,395,421,505,400,464,483,306
"ENSG00000272455",1,2,1,0,3,4,4,1,2
"ENSG00000235098",552,657,506,472,584,389,549,556,355
"ENSG00000225905",2,6,4,3,1,2,2,4,2
"ENSG00000205116",0,0,0,0,0,0,0,0,0
"ENSG00000225285",7,12,8,11,7,6,10,5,6
"ENSG00000179403",179,169,119,105,123,93,122,142,44
"ENSG00000215915",9,20,11,12,11,7,15,17,6
"ENSG00000160072",69,89,64,82,70,42,60,64,43
"ENSG00000197785",91,115,69,94,94,66,76,90,69
"ENSG00000205090",0,0,0,0,0,0,0,1,0
"ENSG00000160075",1049,1131,942,850,1034,716,1090,1079,703
"ENSG00000215014",5,9,3,5,13,5,7,7,6
"ENSG00000228594",4,8,3,6,12,8,17,6,5
"ENSG00000272106",59,78,56,44,36,46,67,73,31
"ENSG00000197530",177,270,164,181,171,155,148,207,90
"ENSG00000189409",3,4,2,0,1,4,1,0,1
"ENSG00000248333",60,74,64,65,61,51,52,75,58
"ENSG00000272004",1,0,0,0,0,0,0,0,1
"ENSG00000189339",351,376,250,299,316,224,245,254,158
"ENSG00000008128",35,42,44,41,35,34,49,30,34
"ENSG00000215790",69,78,63,63,58,51,73,82,47
"ENSG00000008130",258,316,241,349,265,186,180,189,135
"ENSG00000078369",320,367,255,334,309,304,311,299,178
"ENSG00000231050",1,4,2,2,2,1,0,0,0
"ENSG00000169885",0,0,0,0,0,0,0,0,0
"ENSG00000178821",6,3,4,3,2,5,4,3,4
"ENSG00000142609",178,200,161,164,157,100,185,191,122
"ENSG00000233542",0,0,0,0,0,0,0,0,0
"ENSG00000187730",0,0,0,1,0,0,0,0,0
"ENSG00000226969",1,0,1,1,0,0,1,0,0
"ENSG00000067606",151,189,128,137,116,103,147,160,75
"ENSG00000271806",0,0,0,0,0,3,1,0,1
"ENSG00000182873",1,5,4,2,3,1,4,7,0
"ENSG00000162585",111,184,101,108,135,102,113,121,71
"ENSG00000234396",0,0,0,0,0,0,0,0,0
"ENSG00000157933",6,16,7,7,16,11,25,14,11
"ENSG00000116151",183,277,194,165,182,124,193,184,105
"ENSG00000157916",760,968,649,692,815,544,781,723,478
"ENSG00000157911",91,141,75,98,102,84,105,111,65
"ENSG00000149527",173,211,97,127,148,109,131,188,98
"ENSG00000224387",0,0,0,0,0,0,1,0,0
"ENSG00000229393",0,0,0,0,0,0,0,0,0
"ENSG00000157881",106,117,83,91,89,70,110,76,71
"ENSG00000197921",3,1,1,1,1,2,1,0,0
"ENSG00000272449",26,65,25,27,44,31,21,26,8
"ENSG00000238164",14,49,20,24,26,18,23,25,18
"ENSG00000157873",556,760,425,559,594,391,443,471,297
"ENSG00000228037",9,7,4,5,8,6,3,8,5
"ENSG00000157870",387,494,343,402,390,290,274,288,189
"ENSG00000142606",6,9,3,8,11,5,12,5,7
"ENSG00000237058",0,0,0,0,0,0,0,0,0
"ENSG00000215912",12,8,11,12,8,9,10,6,5
"ENSG00000283259",2,2,3,3,0,2,4,2,5
"ENSG00000233234",0,0,0,0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0,0,0,0
"ENSG00000284745",0,0,0,0,0,0,0,0,0
"ENSG00000169717",0,0,0,0,0,0,0,0,0
"ENSG00000177133",0,1,0,0,0,0,0,0,0
"ENSG00000142611",2,2,11,2,1,2,3,3,3
"ENSG00000226286",0,0,0,0,0,0,0,0,0
"ENSG00000272235",0,0,0,0,0,0,0,0,0
"ENSG00000130762",122,121,93,88,85,59,115,103,51
"ENSG00000272088",1,0,0,0,0,0,0,0,0
"ENSG00000162591",27,16,14,9,20,8,25,23,15
"ENSG00000238260",2,1,1,0,0,1,2,0,0
"ENSG00000158109",151,157,114,116,122,90,142,113,65
"ENSG00000116213",178,201,141,159,177,131,170,149,94
"ENSG00000078900",353,383,285,325,284,258,370,379,212
"ENSG00000227589",0,0,1,0,3,0,6,4,3
"ENSG00000235131",0,1,0,0,0,0,0,0,0
"ENSG00000162592",15,10,8,8,12,11,10,8,2
"ENSG00000235169",8,7,6,8,7,5,7,6,10
"ENSG00000130764",359,487,312,352,381,314,364,372,229
"ENSG00000272153",0,2,0,1,1,1,0,3,0
"ENSG00000116198",208,235,170,163,184,120,170,175,101
"ENSG00000169598",18,21,25,37,22,26,38,31,14
"ENSG00000198912",227,242,194,174,167,134,198,182,119
"ENSG00000236423",12,9,5,9,6,7,11,6,10
"ENSG00000233304",0,0,0,0,0,0,0,0,0
"ENSG00000226374",0,1,0,0,0,0,0,0,0
"ENSG00000284668",0,0,0,0,0,0,0,0,1
"ENSG00000284703",0,0,0,0,0,0,0,0,0
"ENSG00000235054",0,0,0,0,0,0,0,0,0
"ENSG00000284694",0,0,0,0,0,0,0,0,0
"ENSG00000227169",0,0,0,0,0,0,0,0,0
"ENSG00000232596",0,0,0,0,0,0,0,0,0
"ENSG00000196581",2,9,7,6,8,3,11,6,6
"ENSG00000284739",0,1,0,0,0,0,0,0,0
"ENSG00000284674",0,0,0,0,0,0,0,0,0
"ENSG00000231510",0,0,0,0,0,0,0,0,0
"ENSG00000284616",0,0,0,0,0,0,0,0,0
"ENSG00000284692",0,0,0,0,0,0,0,0,0
"ENSG00000284666",0,0,0,0,0,0,0,0,0
"ENSG00000260972",0,0,0,0,0,0,0,0,0
"ENSG00000236948",0,0,0,0,0,0,0,0,0
"ENSG00000131697",126,134,121,103,140,78,136,131,83
"ENSG00000069424",55,55,36,30,38,25,58,61,37
"ENSG00000116254",0,0,0,0,0,0,0,0,0
"ENSG00000116251",798,864,681,737,787,673,973,951,613
"ENSG00000226944",1,0,3,0,1,0,0,0,0
"ENSG00000158286",120,115,77,101,131,73,72,58,49
"ENSG00000116237",1112,1229,987,1056,987,809,1007,984,608
"ENSG00000225077",1,0,0,0,0,0,1,0,1
"ENSG00000173673",0,0,0,0,0,0,0,0,0
"ENSG00000158292",10,12,11,7,9,13,16,17,12
"ENSG00000097021",175,182,155,147,183,105,196,203,122
"ENSG00000271746",0,0,0,0,0,0,0,0,0
